200,-0.03704522,0.5
200,-0.03941941,0.5
200,-0.03467103,0.5
200,-0.04416779,0.5
200,-0.03941941,0.5
200,-0.03229683,0.5
200,-0.03467103,0.5
200,-0.03941941,0.5
200,-0.03229683,0.5
200,-0.03941941,0.5
200,-0.03704522,0.5
200,-0.0417936,0.5
200,-0.03941941,0.5
200,-0.03941941,0.5
200,-0.04416779,0.5
200,-0.02992255,0.5
200,-0.0417936,0.5
200,-0.04416779,0.5
200,-0.03704522,0.5
200,-0.02517417,0.5
200,-0.03229683,0.5
200,-0.0417936,0.5
200,-0.02992255,0.5
200,-0.03229683,0.5
200,-0.03941941,0.5
200,-0.0417936,0.5
200,-0.02517417,0.5
200,-0.02754836,0.5
200,-0.02754836,0.5
200,0.003316123,0.5
200,-0.01567741,0.5
200,0.0009419316,0.5
200,0.005690314,0.5
200,0.01756127,0.5
200,0.01756127,0.5
200,0.03892899,0.5
200,0.0365548,0.5
200,0.03892899,0.5
200,0.04842576,0.5
200,0.06504519,0.5
200,0.0602968,0.5
200,0.06979357,0.5
200,0.08166452,0.5
200,0.08166452,0.5
200,0.08403871,0.5
200,0.09353548,0.5
200,0.09116129,0.5
200,0.1149032,0.5
200,0.1054064,0.5
200,0.1101548,0.5
200,0.1172774,0.5
200,0.1315225,0.5
200,0.1386451,0.5
200,0.1433935,0.5
200,0.1433935,0.5
200,0.1623871,0.5
200,0.1600129,0.5
200,0.1623871,0.5
200,0.1623871,0.5
200,0.1718839,0.5
200,0.1718839,0.5
200,0.1766323,0.5
200,0.186129,0.5
200,0.1908774,0.5
200,0.1932516,0.5
200,0.198,0.5
200,0.1956258,0.5
200,0.2098709,0.5
200,0.2074967,0.5
200,0.2122451,0.5
200,0.2288645,0.5
200,0.2169935,0.5
200,0.2169935,0.5
200,0.2074967,0.5
200,0.2169935,0.5
200,0.2217419,0.5
200,0.2098709,0.5
200,0.2193677,0.5
200,0.2122451,0.5
200,0.2193677,0.5
200,0.2122451,0.5
200,0.2169935,0.5
200,0.2264903,0.5
200,0.2193677,0.5
200,0.2264903,0.5
200,0.2217419,0.5
200,0.2193677,0.5
196.0155,0.2549807,0.5
200,0.2312387,0.5
200,0.2383612,0.5
200,0.2478581,0.5
192.2168,0.2597291,0.5
196.0155,0.2549807,0.5
194.1161,0.2573549,0.5
196.0155,0.2549807,0.5
190.3174,0.2621032,0.5
180.8206,0.2739742,0.5
178.9213,0.2763484,0.5
169.4245,0.2882193,0.5
159.9278,0.3000903,0.5
158.0284,0.3024645,0.5
156.129,0.3048387,0.5
146.6323,0.3167096,0.5
133.3368,0.333329,0.5
144.7329,0.3190838,0.5
129.538,0.3380775,0.5
131.4375,0.3357032,0.5
114.3432,0.357071,0.5
120.0413,0.3499484,0.5
114.3432,0.357071,0.5
99.14839,0.3760645,0.5
101.0478,0.3736903,0.5
99.14839,0.3760645,0.5
97.24903,0.3784387,0.5
89.65163,0.3879355,0.5
87.75227,0.3903097,0.5
78.25551,0.4021806,0.5
82.05421,0.3974322,0.5
82.05421,0.3974322,0.5
76.35615,0.4045548,0.5
64.96005,0.4187999,0.5
72.55745,0.4093032,0.5
66.85939,0.4164258,0.5
63.06069,0.4211741,0.5
63.06069,0.4211741,0.5
55.4632,0.430671,0.5
40.26837,0.4496645,0.5
25.07355,0.4686581,0.5
45.96643,0.442542,0.5
36.46967,0.4544129,0.5
36.46967,0.4544129,0.5
34.57031,0.4567871,0.5
34.57031,0.4567871,0.5
-200,1.230774,0.5
34.57031,0.4567871,0.5
19.37549,0.4757806,0.5
47.8658,0.4401678,0.5
47.8658,0.4401678,0.5
44.0671,0.4449161,0.5
-16.71228,0.5208904,0.5
36.46967,0.4544129,0.5
44.0671,0.4449161,0.5
15.57679,0.480529,0.5
32.67097,0.4591613,0.5
32.67097,0.4591613,0.5
19.37549,0.4757806,0.5
32.67097,0.4591613,0.5
42.16774,0.4472903,0.5
26.97291,0.4662839,0.5
40.26837,0.4496645,0.5
40.26837,0.4496645,0.5
25.07355,0.4686581,0.5
40.26837,0.4496645,0.5
42.16774,0.4472903,0.5
36.46967,0.4544129,0.5
36.46967,0.4544129,0.5
40.26837,0.4496645,0.5
42.16774,0.4472903,0.5
45.96643,0.442542,0.5
42.16774,0.4472903,0.5
38.36903,0.4520387,0.5
40.26837,0.4496645,0.5
34.57031,0.4567871,0.5
45.96643,0.442542,0.5
38.36903,0.4520387,0.5
28.87225,0.4639097,0.5
44.0671,0.4449161,0.5
32.67097,0.4591613,0.5
45.96643,0.442542,0.5
34.57031,0.4567871,0.5
36.46967,0.4544129,0.5
42.16774,0.4472903,0.5
45.96643,0.442542,0.5
32.67097,0.4591613,0.5
38.36903,0.4520387,0.5
28.87225,0.4639097,0.5
30.77161,0.4615355,0.5
38.36903,0.4520387,0.5
32.67097,0.4591613,0.5
26.97291,0.4662839,0.5
42.16774,0.4472903,0.5
25.07355,0.4686581,0.5
34.57031,0.4567871,0.5
36.46967,0.4544129,0.5
30.77161,0.4615355,0.5
32.67097,0.4591613,0.5
30.77161,0.4615355,0.5
200,0.4496645,1
200,0.4710322,1
200,0.4591613,1
200,0.4567871,1
200,0.4639097,1
200,0.4449161,1
200,0.4615355,1
