0.7238,-2.9046
2.773,-2.726
-1.1374,-1.5886
3.6566,-7.7456
0.7614,-4.7376
-3.7412,-1.1844
5.8186,-3.8258
-6.486,-2.6884
-3.7788,-0.7802
-0.4794,-3.4216
3.9104,-1.0716
-8.7984,0.1692
-5.7152,-0.8554
-7.849,-1.1468
-5.687,-2.5756
1.974,-4.371
-2.3876,1.0434
5.0854,-2.1714
-1.7202,0.094
-3.1866,-4.4086
-4.1454,0.9024
1.457,-1.6638
1.4194,-3.4968
0.47,-3.0174
-0.6956,-0.8178
2.115,1.2972
-0.2914,-0.564
-2.8952,0.752
9.306,-1.7296
-9.5316,0.1692
3.2524,-0.3384
-5.3486,-1.4006
-11.3646,1.7766
7.3226,-1.7296
-7.3696,-4.5214
12.0508,-7.6328
-4.982,0.1316
4.7188,-4.0796
-6.5236,-4.2582
11.5714,-6.8244
-4.2206,-0.0846
2.773,-2.9422
-3.8822,-2.7918
9.8888,-5.5836
10.293,-5.875
-6.674,-3.8916
5.969,-8.7702
4.2394,-5.875
4.9068,-2.6508
-4.0702,0.1974
-1.6826,-0.9964
1.128,-4.0796
-2.7166,-8.1498
-5.3486,2.3312
5.8186,-2.209
-3.4498,-2.6132
-0.0376,-3.9292
-5.9408,-0.4136
1.457,-5.9126
4.9444,-8.225
2.5944,-6.721
3.8446,-3.4968
-7.6234,-3.6754
2.5192,-6.2416
7.3226,-7.3038
-0.2538,-3.1584
8.3096,-7.8584
5.5648,-5.6212
2.4064,-2.2842
3.1396,-7.0124
0.47,-4.9256
3.7318,-3.7882
-5.499,5.0384
5.5272,-3.8634
-3.854,4.1266
-4.8786,1.1186
1.4946,-3.8916
-4.4368,1.8142
-3.149,-1.1844
-1.2878,-0.4136
-5.0948,-0.0094
6.8808,-0.2632
-0.329,-6.392
-0.1128,-1.1844
2.5192,-0.047
-0.987,-4.4086
1.7484,0.6768
3.4404,-5.7622
-2.2748,-2.1338
3.807,-2.867
5.0854,-7.9242
6.4108,-6.5706
1.8988,-4.2582
-0.1504,-4.5214
2.1526,-1.7296
-0.2914,-3.5626
3.5062,-5.1794
1.2032,0.6768
3.2524,-6.6458
-0.987,0.423
3.0362,-2.6508
2.1526,-6.204
-1.0998,-2.209
2.0398,-1.692
2.773,-4.0044
0.6486,-3.8634
-0.1504,-2.397
2.0116,-4.2958
0.1786,-2.9422
-1.2878,-2.209
1.0904,-3.3464
0.141,-2.7636
-0.2914,-2.0586
0.8366,-2.726
-0.188,-2.2842
0.3196,-2.867
0.94,-3.1302
0.1034,-3.1584
0.141,-3.4968
-0.1128,-2.5004
0.4324,-3.4592
0.0658,-3.3464
0.3572,-2.9798
0.4324,-2.6508
0.6862,-2.1338
0.5076,-2.2842
0.5734,-2.5004
0.2068,-2.397
0.1786,-2.7636
0.282,-2.6884
0.6486,-2.538
0.1034,-2.6884
0.3948,-2.5004
0.2068,-2.4628
-0.5546,-1.1468
-0.1128,-0.5922
0.4324,-2.7636
0.141,-2.7636
0.282,-2.397
0.2444,-2.726
0.5452,-2.7636
0.2068,-2.6884
0.1034,-2.6508
0.3572,-2.9046
0.141,-2.726
0.3572,-2.5756
0.3572,-2.6508
0.1786,-2.726
0.2068,-2.6508
0.3572,-2.6132
0.3572,-2.6132
0.1786,-2.6508
0.3196,-2.6132
0.282,-2.7636
0.1034,-2.538
0.4324,-2.5004
0.47,-2.538
0.0282,-2.7636
0.3948,-2.6508
0.3572,-2.8294
0.3948,-2.726
0.2068,-2.726
0.3948,-2.5756
0.4324,-2.6884
0.4324,-2.5756
0.4324,-2.6508
0.282,-2.6508
0.4324,-2.867
0.5076,-2.6508
0.3196,-2.6884
0.5076,-2.6132
0.282,-2.726
0.3196,-2.726
0.4324,-2.5756
0.3948,-2.6508
0.2444,-2.726
0.282,-2.6132
0.282,-2.7636
0.3948,-2.6884
0.3572,-2.726
0.282,-2.6508
0.3196,-2.9046
0.4324,-2.726
0.3196,-2.726
0.282,-2.7636
0.3948,-2.7636
0.3572,-2.726
0.282,-2.6884
0.3948,-2.6508
3.478,-5.029
3.8728,-8.225
3.2524,-6.7962
-0.4042,-4.23
3.8446,-1.4006
-4.0326,2.068
4.7188,-5.546
1.8988,-0.4888
0.5076,-6.9748
2.4816,-5.7998
-0.6956,-3.6002
-5.0572,1.927
1.2784,-5.4332
1.8988,-2.9422
-1.9082,1.7766
4.7188,-5.6212
5.123,2.068
-0.0094,-5.217
5.123,-8.695
2.773,-4.6624
1.5322,-6.4578
-4.6154,2.1056
-4.7658,-1.4006
-1.0622,1.269
-4.6154,0.1692
3.7694,-3.3088
-3.6284,-1.8048
4.1736,-4.9256
0.282,-0.5922
1.1656,-7.4166
-2.2748,-1.5134
4.3898,-7.5576
2.5568,-5.358
-1.7578,-0.3008
-2.8576,2.1808
-1.6544,-1.4006
-5.9408,-0.2632
5.5648,-5.029
0.1786,-3.7882
-0.2162,-6.9372
2.5192,2.3688
0.3948,-2.6132
-0.8836,-2.0304
-2.1244,0.6016
3.9104,-4.23
1.0528,-4.7376
-0.8836,-0.7802
1.2784,-1.9552
0.282,-2.6884
0.3948,-2.5004
-1.4664,-2.2842
0.5734,-2.9046
-0.6956,-2.5004
1.9364,-2.9798
1.2784,-3.4216
-0.0376,-2.3594
1.1656,-2.3594
1.0528,-3.0174
0.8366,-2.6132
-0.1504,-2.6132
-0.846,-2.8294
0.7238,-2.9798
0.3196,-1.6638
0.4324,-3.5626
0.47,-2.6884
0.47,-3.3088
-0.0376,-2.726
-0.0752,-2.9046
0.5076,-2.6508
0.3196,-2.9422
0.1786,-2.9046
0.3196,-2.8294
0.4324,-2.9422
0.3572,-2.8294
0.3948,-2.9046
0.2444,-2.7636
0.3196,-2.6884
0.2444,-2.8294
0.3572,-2.8294
0.2068,-2.7636
-1.9834,-1.7672
0.2068,0.8272
0.1786,-2.9046
0.282,-2.9422
0.2068,-3.0174
0.141,-2.8294
0.5076,-2.6884
-0.4042,2.6226
-0.1128,0.423
1.128,-9.9828
3.948,5.1888
2.9986,3.0268
0.2444,0.8272
0.47,-3.055
-1.6544,-4.2958
-1.5792,-1.034
0.282,-3.2712
0.141,-2.7918
0.282,-2.9422
0.141,-2.9422
0.0282,-2.9798
-1.7954,-0.8178
0.7238,-2.9798
0.2444,-2.7918
0.1786,-2.8294
-0.0376,-3.0174
0.3572,-2.9422
-0.1128,-3.055
-0.3666,-2.5756
0.6862,-3.4968
0.1034,-2.7918
-0.0094,-2.9046
0.2068,-2.6132
0.3572,-3.0174
-0.3666,-2.9046
0.2444,-2.6884
-0.0094,-3.0926
0.5734,-2.6132
0.1034,-2.7636
-0.0752,-2.6884
1.0152,-2.9798
-0.0094,-2.7918
-0.1504,-2.4252
-0.1128,-2.3218
-0.0094,-1.9176
-0.3666,-2.5004
-0.658,-2.3218
-0.4042,-2.5004
-0.658,-2.538
-0.2914,-2.209
-0.6956,-2.2842
-0.658,-2.3218
-0.6956,-2.6132
-0.4794,-2.4628
-0.4418,-2.726
-0.2914,-2.8294
-0.3666,-2.5004
-0.329,-2.4252
-0.329,-2.4252
-0.329,-2.5756
-0.3666,-2.5004
-0.4042,-2.6132
-0.5828,-2.6884
-0.4794,-2.4628
